RBD,NOM_RBD,NOM_COM_RBD,RURAL_RBD,DC_A,HH_A,DC_UTP,HH_UTP,DC_PDIR,HH_PDIR,DC_DIR,HH_DIR,DC_OES,HH_OES,DC_OF,HH_OF,DC_JUTP,HH_JUTP,DC_IG,HH_IG,DC_OR,HH_OR,DC_DIR_SOST,HH_DIR_SOST,DC_TP_SOST,HH_TP_SOST,DC_SUP_SOST,HH_SUP_SOST,DC_SUBDIR,HH_SUBDIR,DC_PROF_ENC,HH_PROF_ENC,DC_EDUC_TRAD,HH_EDUC_TRAD,DC_TOT,HH_TOT
26321,ESC. DE PARV. JARDIN INFANTIL GIRASOL DE SAN,SAN BERNARDO,0,2,80,0,0,0,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,120
26322,ESCUELA DE PARVULOS Y ESPECIAL N°2237 SAN BENITO EDUCA,MAIPÚ,0,3,123,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,167
26323,THE ALMOND SCHOOL III,LA PINTANA,0,3,101,0,0,0,0,1,22,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,167
26324,EST. EDUC. PART. ARCANGEL GABRIEL N° 2,PEDRO AGUIRRE CERDA,0,20,622,2,88,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,732
26327,ESC. ESP. ANTILAF DE PEÑAFLOR,PEÑAFLOR,0,7,274,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,318
26328,COLEGIO ANTUQUENU ANDINO,LA FLORIDA,0,29,1076,0,0,0,0,1,44,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,0,1,44,0,0,0,0,32,1194
26330,ESC. ESP. PEUMAYEN DE MAIPU N°2,MAIPÚ,0,3,132,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,176
26333,C. INTEGRAL DE AD. PROFESORA TERESA MOYA REYE,PUENTE ALTO,0,35,1270,0,0,0,0,1,44,3,85,0,0,1,44,2,88,1,44,0,0,0,0,0,0,0,0,0,0,0,0,43,1575
26334,ESC. ESP. EL CANELO DE PUENTE ALTO,PUENTE ALTO,0,4,154,0,0,0,0,1,24,0,0,0,0,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,212
26335,COLEGIO DUNALASTAIR VALLE NORTE,COLINA,0,120,4949,1,32,9,396,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,5421
